id,name,localized_name,region_code,wca_id,approved,created_at,updated_at
1,Willem Klose,,DE,2017KLOS01,TRUE,2023-06-28T23:16:56.220Z,2023-08-04T13:42:18.746Z
2,Rui Reis,,CH,2015REIS02,TRUE,2023-06-29T06:41:03.517Z,2023-08-04T13:42:18.746Z
3,Timo Forsthofer,,DE,2018FORS03,TRUE,2023-06-29T06:41:37.853Z,2023-08-04T13:42:18.746Z
4,Deni Mintsaev,,RU,2013MINT01,TRUE,2023-06-29T06:42:09.149Z,2026-03-05T07:36:54.134Z
5,Fabian Damke,,DE,2018DAMK01,TRUE,2023-06-29T06:42:34.607Z,2023-08-04T13:42:18.746Z
6,Luis Kleinheinz,,DE,2017KLEI02,TRUE,2023-06-29T06:42:59.747Z,2023-08-04T13:42:18.746Z
7,Grégoire Baur,,DE,2023BAUR02,TRUE,2023-06-29T06:44:12.492Z,2023-08-04T13:42:18.746Z
8,Kerry Limmer,,DE,2022LIMM02,TRUE,2023-06-29T06:48:49.757Z,2023-08-04T13:42:18.746Z
9,Oliver Fritz,,DE,2014FRIT02,TRUE,2023-06-30T19:19:16.216Z,2023-08-04T13:42:18.746Z
10,Christoph Jadan,,DE,2017JADA01,TRUE,2023-07-07T14:20:11.428Z,2023-08-04T13:42:18.746Z
11,Leonid Salzmann,,UA,2016PALC02,TRUE,2023-07-07T14:20:59.655Z,2023-08-23T15:19:48.500Z
12,Jeremy Mrzyglocki,,DE,2019MRZY01,TRUE,2023-07-07T14:25:57.820Z,2023-08-04T13:42:18.746Z
13,David Schimpf,,DE,2023SCHI11,TRUE,2023-07-07T17:45:28.244Z,2023-08-04T13:42:18.746Z
14,Valentin Schimpf,,DE,2023SCHI12,TRUE,2023-07-07T17:47:06.649Z,2023-08-04T13:42:18.746Z
15,Matvei Kuligin,,RU,2022KULI03,TRUE,2023-07-07T17:48:48.343Z,2023-08-04T13:42:18.746Z
16,Luna Fuchsloch,,DE,2014FUCH01,TRUE,2023-07-07T17:49:17.516Z,2023-08-04T13:42:18.746Z
17,Stanislas Lorent,,BE,2023LORE02,TRUE,2023-07-07T17:49:40.877Z,2023-08-04T13:42:18.746Z
18,Atharv Gandhi,,IN,2023GAND10,TRUE,2023-07-07T17:50:09.199Z,2023-08-04T13:42:18.746Z
19,Magnus Lensch,,DE,2019LENS01,TRUE,2023-07-07T17:50:26.748Z,2023-08-04T13:42:18.746Z
20,Seokyoon Yoo,,KR,2018YOOS01,TRUE,2023-07-30T14:55:34.345Z,2023-08-04T13:42:18.746Z
21,Calvin Nielson,,US,2014NIEL03,TRUE,2023-08-04T08:07:00.588Z,2023-08-04T13:42:18.746Z
