id,event_id,date,approved,person_ids,region_code,super_region_code,attempts,best,average,record_category,regional_single_record,regional_average_record,competition_id,round_id,ranking,proceeds,video_link,discussion_link,created_at,updated_at
1,333_team_bld_old,2023-02-19T00:00:00.000Z,TRUE,"[2,4]",,EUROPE,"[{""result"":14186},{""result"":10247},{""result"":10787},{""result"":17962},{""result"":5059}]",5059,11740,meetups,,,Munich19022023,11,2,,,,2023-07-01T08:54:28.023Z,2023-11-16T19:35:37.860Z
2,333_team_bld_old,2023-02-19T00:00:00.000Z,TRUE,"[3,1]",DE,EUROPE,"[{""result"":2148},{""result"":2866},{""result"":3614},{""result"":-1},{""result"":2990}]",2148,3157,meetups,WR,WR,Munich19022023,11,1,,,,2023-07-01T08:54:28.024Z,2026-01-27T20:42:15.934Z
3,333oh,2023-02-19T00:00:00.000Z,TRUE,[3],DE,EUROPE,"[{""result"":2060},{""result"":2047},{""result"":2449},{""result"":2110},{""result"":2120}]",2047,2097,meetups,WR,WR,Munich19022023,12,1,,,,2023-07-01T08:54:28.024Z,2026-01-27T20:41:12.124Z
4,333oh,2023-02-19T00:00:00.000Z,TRUE,[4],RU,EUROPE,"[{""result"":2512},{""result"":2322},{""result"":2999},{""result"":2361},{""result"":2107}]",2107,2398,meetups,NR,NR,Munich19022023,12,2,,,,2023-07-01T08:54:28.024Z,2026-01-27T20:41:13.692Z
5,333,2023-02-19T00:00:00.000Z,TRUE,[1],DE,EUROPE,"[{""result"":990},{""result"":1385},{""result"":1189},{""result"":1294},{""result"":1028}]",990,1170,meetups,WR,WR,Munich19022023,13,1,,,,2023-07-01T08:54:28.024Z,2026-01-27T20:40:46.950Z
6,333,2023-02-19T00:00:00.000Z,TRUE,[4],RU,EUROPE,"[{""result"":1003},{""result"":1399},{""result"":1379},{""result"":1404},{""result"":1142}]",1003,1307,meetups,NR,NR,Munich19022023,13,2,,,,2023-07-01T08:54:28.024Z,2026-01-27T20:40:48.384Z
7,333,2023-02-19T00:00:00.000Z,TRUE,[3],DE,EUROPE,"[{""result"":1278},{""result"":1404},{""result"":1341},{""result"":1307},{""result"":1471}]",1278,1351,meetups,,,Munich19022023,13,3,,,,2023-07-01T08:54:28.024Z,2023-11-16T19:35:37.956Z
8,333,2023-02-19T00:00:00.000Z,TRUE,[2],CH,EUROPE,"[{""result"":1722},{""result"":1733},{""result"":1418},{""result"":1164},{""result"":1884}]",1164,1624,meetups,NR,NR,Munich19022023,13,4,,,,2023-07-01T08:54:28.024Z,2026-01-27T20:40:48.384Z
9,333bf,2023-02-19T00:00:00.000Z,TRUE,[3],DE,EUROPE,"[{""result"":2217},{""result"":-1},{""result"":2412}]",2217,-1,meetups,WR,,Munich19022023,14,1,,,,2023-07-01T08:54:28.024Z,2026-01-27T20:41:04.228Z
10,333bf,2023-02-19T00:00:00.000Z,TRUE,[1],DE,EUROPE,"[{""result"":7327},{""result"":-1},{""result"":-1}]",7327,-1,meetups,,,Munich19022023,14,2,,,,2023-07-01T08:54:28.024Z,2023-11-16T19:35:37.966Z
